Last,First,Institution,City,State,Expertise,Collection_role,Coding_role
Adolph,Karen,New York University,New York,NY,Physical Activity & Locomotion,Collecting,Coding
Boudreau,Jean-Paul,Mount Alison University,Sackville,New Brunswick,Objects,Not collecting,Coding
Brandone,Amanda,Lehigh University,Lehigh,PA,Objects,Not collecting,Coding
Brooker,Rebecca,Texas A&M,College Station,TX,Emotion & Facial Affect,Not collecting,Coding
Buss,Kristin,Penn State University,University Park,PA,Emotion & Facial Affect,Not collecting,Coding
Casasola,Marianella,Cornell University,Ithaca,NY,Language & Gesture,Collecting,Coding
Claxton,Laura,Purdue University,W. Lafayette,IN,Physical Activity & Locomotion,Collecting,Coding
Davis,Elizabeth,University of California at Riverside,Riverside,CA,Emotion & Facial Affect,Not collecting,Coding
de Barbaro,Kaya,University of Texas at Austin,Austin,TX,Emotion & Facial Affect,Not collecting,Coding
Dusing,Stacey,Virginia Commonwealth University,Richmond,VA,Objects,Collecting,Coding
Fausey,Caitlin,University of Oregon,Eugene,OR,Language & Gesture,Collecting,Coding
Franchack,John,University of California at Riverside,Riverside,CA,Physical Activity & Locomotion,Collecting,Coding
Frank,Mike,Stanford University,Palo Alto,CA,Language & Gesture,Collecting,Coding
Frick,Janet,University of Georgia,Athens,GA,Emotion & Facial Affect,Collecting,Coding
Gill,Simone,Boston University,Boston,MA,Physical Activity & Locomotion,Collecting,Coding
Gilmore,Rick,Penn State University,University Park,PA,Physical Activity & Locomotion,Collecting,Coding
Haddad,Jeff,Purdue University,W. Lafayette,IN,Physical Activity & Locomotion,Not collecting,Coding
Hane,Amie,Williams College,Williamstown,MA,Emotion & Facial Affect,Not collecting,Coding
Hauck,Janet,Michigan State University,East Lansing,MI,Physical Activity & Locomotion,Not collecting,Coding
Heathcock,Jill,Ohio State University,Columbus,OH,Physical Activity & Locomotion,Collecting,Coding
Henderson,Heather,University of Waterloo,Waterloo,Ontario,Emotion & Facial Affect,Not collecting,Coding
Iverson,Jana,University of Pittsburgh,Pittsburgh,PA,Language & Gesture,Collecting,Coding
Karasik,Lana,CUNY -- College of Staten Island,Staten Island,NY,Objects,Collecting,Coding
Lee,Do Kyeong,California State University at Fullerton,Fullerton,CA,Physical Activity & Locomotion,Collecting,Coding
Lee,Mei-Hua,Michigan State University,East Lansing,MI,Physical Activity & Locomotion,Collecting,Coding
Legare,Cristine,University of Texas at Austin,Austin,TX,Objects,Collecting,Coding
Lew-Williams,Casey,Princeton University,Princeton,NJ,Language & Gesture,Collecting,Coding
Libertus,Klaus,University of Pittsburgh,Pittsburgh,PA,Objects,Not collecting,Coding
LoBue,Vanessa,Rutgers University,Newark,NJ,Emotion & Facial Affect,Collecting,Coding
Lockman,Jeff,Tulane University,New Orleans,LA,Objects,Collecting,Coding
Messinger,Dan,University of Miami,Miami,FL,Emotion & Facial Affect,Collecting,Coding
Naigles,Letitia,University of Connecticut,Storrs,CT,Language & Gesture,Not collecting,Coding
Needham,Amy,Vanderbilt University,Nashville,TN,Objects,Collecting,Coding
Oakes,Lisa,University of California at Davis,Davis,CA,Objects,Collecting,Coding
Perez-Edgar,Koraly,Penn State University,University Park,PA,Emotion & Facial Affect,Not collecting,Coding
Prosser,Laura,Children's Hospital of Philadelphia,Philadelphia,PA,Physical Activity & Locomotion,Collecting,Coding
Rowe,Meredith,Harvard University,Cambridge,MA,Language & Gesture,Not collecting,Coding
Schmuckler,Mark,University of Toronto Scarborough,Toronto,Ontario,Physical Activity & Locomotion,Not collecting,Coding
Sheya,Adam,University of Connecticut,Storrs,CT,Emotion & Facial Affect,Not collecting,Coding
Song,Lulu,Brooklyn College,Brooklyn,NY,Emotion & Facial Affect,Not collecting,Coding
Tamis-LeMonda,Catherine,New York University,New York,NY,Language & Gesture,Not collecting,Coding
Vishton,Peter,College of William & Mary,Williamsburg,VA,Objects,Collecting,Coding
Walle,Eric,University of California at Merced,Merced,CA,Emotion & Facial Affect,Not collecting,Coding
Wang,Su-hua,University of California at Santa Cruz,Santa Cruz,CA,Objects,Collecting,Coding
Warlaumont,Anne,University of California at Los Angeles,Los Angeles,CA,Language & Gesture,Collecting,Coding
Yoshida,Hanako,University of Houston,Houston,TX,Language & Gesture,Collecting,Coding
Yu,Chen,Indiana University,Bloomington,IN,Language & Gesture,Collecting,Coding
Yurovsky,Dan,University of Chicago,Chicago,IL,Language & Gesture,Collecting,Coding
Amso,Dima,Brown University,Providence,RI,Home Environment,Not collecting,Significant Contributor
Barr,Rachel,Georgetown University,Washington,DC,Home Environment,Collecting,Significant Contributor
Berenbaum,Sheri,Penn State University,University Park,PA,Gender,Not collecting,Significant Contributor
Bornstein,Marc,SRCD,Bethesda,MD,Objects,Not collecting,Significant Contributor
Bradley,Bob,Arizona State University,Tempe,AZ,Home Environment,Not collecting,Significant Contributor
Chi,Guangqing,Penn State University,State College,PA,Home Environment,Not collecting,Significant Contributor
Evans,Gary,Cornell University,Ithaca,NY,Home Environment,Not collecting,Significant Contributor
Goldin-Meadow,Susan,University of Chicago,Chicago,IL,Language & Gesture,Not collecting,Significant Contributor
Goldstein,Mike,Cornell University,Ithaca,NY,Language & Gesture,Not collecting,Significant Contributor
Halim,May Ling,California State University at Long Beach,Long Beach,CA,Gender,Collecting,Significant Contributor
Hirsh-Pasek,Kathy,Temple University,Philadelphia,PA,Objects,Not collecting,Significant Contributor
MacWhinney,Brian,Carnegie Mellon University,Pittsburgh,PA,Language & Gesture,Not collecting,Significant Contributor
Namy,Laura,Society for Research In Child Development,Washington,DC,Language & Gesture,Not collecting,Significant Contributor
Newcombe,Nora,Temple University,Philadelphia,PA,NA,Not collecting,Significant Contributor
Olson,Kristina,University of Washington,Seattle,WA,Gender,Not collecting,Significant Contributor
Pomerantz,Eva,University of Illinois at Urbana-Champagne,Champaign,IL,Gender,Not collecting,Significant Contributor
Soderstrom,Melanie,University of Manitoba,Winnipeg,Manitoba,Language & Gesture,Not collecting,Significant Contributor
